Arm,Reward,Regret,Algorithm
3,4.558823512280741,0,Epsilon-Greedy
3,3.107202186998092,0,Epsilon-Greedy
2,2.7483061087418625,1,Epsilon-Greedy
3,4.802963342232952,0,Epsilon-Greedy
3,4.596541916873008,0,Epsilon-Greedy
3,2.970098964655437,0,Epsilon-Greedy
3,6.484491763574656,0,Epsilon-Greedy
3,4.52333499379944,0,Epsilon-Greedy
3,2.363629448130207,0,Epsilon-Greedy
3,2.9199273366622815,0,Epsilon-Greedy
3,4.359736539519276,0,Epsilon-Greedy
3,4.8700939615858605,0,Epsilon-Greedy
3,2.1038439317449344,0,Epsilon-Greedy
3,1.3786855738056523,0,Epsilon-Greedy
0,2.087545961880571,3,Epsilon-Greedy
3,3.220084584823137,0,Epsilon-Greedy
3,4.279468952607947,0,Epsilon-Greedy
3,3.521764133859767,0,Epsilon-Greedy
3,4.56556284422551,0,Epsilon-Greedy
3,3.897960436372224,0,Epsilon-Greedy
3,2.899254025762856,0,Epsilon-Greedy
3,2.8420697020428642,0,Epsilon-Greedy
3,3.9952782235352102,0,Epsilon-Greedy
3,1.9953142871913685,0,Epsilon-Greedy
3,4.073997182257018,0,Epsilon-Greedy
3,4.4381420853965015,0,Epsilon-Greedy
3,4.148390232001547,0,Epsilon-Greedy
3,4.088002934146427,0,Epsilon-Greedy
3,4.726808912935947,0,Epsilon-Greedy
3,5.260040409942868,0,Epsilon-Greedy
3,2.0628717392929614,0,Epsilon-Greedy
3,3.1625628688255984,0,Epsilon-Greedy
3,3.246091123461184,0,Epsilon-Greedy
3,4.81638837844366,0,Epsilon-Greedy
3,3.5441048086596054,0,Epsilon-Greedy
3,3.5241151378968976,0,Epsilon-Greedy
3,4.412728814355451,0,Epsilon-Greedy
3,4.281607508213284,0,Epsilon-Greedy
3,5.8300800757084,0,Epsilon-Greedy
3,3.1253812536314065,0,Epsilon-Greedy
3,5.045482017709658,0,Epsilon-Greedy
3,4.998483688340287,0,Epsilon-Greedy
3,5.341569659135187,0,Epsilon-Greedy
3,4.653526457382248,0,Epsilon-Greedy
3,4.362920692507977,0,Epsilon-Greedy
3,3.655739049703234,0,Epsilon-Greedy
3,4.56529050054182,0,Epsilon-Greedy
3,4.708610574159028,0,Epsilon-Greedy
3,3.5809902968075296,0,Epsilon-Greedy
3,2.4165283710965344,0,Epsilon-Greedy
3,4.655369100619446,0,Epsilon-Greedy
3,3.971223759172353,0,Epsilon-Greedy
3,4.75506344761101,0,Epsilon-Greedy
3,4.802212125561949,0,Epsilon-Greedy
3,3.076459956914969,0,Epsilon-Greedy
